PetID,Type,Age,Breed1,Breed2,Gender,Color1,Color2,Color3,MaturitySize,FurLength,Vaccinated,Dewormed,Sterilized,Health,Quantity,Fee,State,VideoAmt,PhotoAmt,AdoptionSpeed
a22a8a017,2,1,254,266,2,1,2,3,1,1,2,2,2,1,1,0,41401,0,2,100
29ffe21fe,2,2,266,266,2,1,7,0,2,1,2,1,2,1,1,0,41326,0,11,20
7bb118200,2,3,266,266,2,5,7,0,2,1,1,1,2,1,1,50,41326,0,3,28
f120723d0,2,1,265,266,3,2,3,0,2,1,2,2,2,1,3,0,41326,0,0,100
b94b99757,1,3,307,307,2,1,2,0,2,2,1,1,2,1,1,0,41326,2,2,100
2c15f3086,1,36,128,307,2,2,7,0,2,1,1,1,1,1,1,300,41326,0,4,100
56cba1beb,2,3,304,0,1,1,7,0,1,2,2,2,2,1,1,0,41326,0,2,12
67e7da152,1,2,307,0,2,2,7,0,2,1,1,1,2,1,1,0,41326,0,5,63
f35683806,2,12,265,0,2,1,2,0,2,2,2,2,1,1,1,0,41326,0,3,33
a5984b6df,2,6,266,0,1,7,0,0,2,1,1,1,2,1,1,0,41326,0,1,2
4fc4ac031,2,12,266,303,2,1,2,0,1,1,1,1,1,1,1,0,41326,0,7,49
d9a014dbb,2,3,292,266,3,1,7,0,2,1,2,2,2,1,5,0,41326,0,5,29
caf786c94,2,12,292,266,1,2,5,7,3,1,2,2,2,1,1,0,41401,0,5,29
d243fce57,1,3,141,307,2,5,0,0,2,1,1,1,1,1,2,0,41326,0,5,8
805461ad6,2,2,266,0,3,3,5,7,1,2,2,2,2,1,2,0,41325,0,3,1
98565468b,2,12,266,0,2,1,2,7,2,1,2,2,2,1,1,0,41401,0,1,29
fbb3db415,1,1,307,307,3,2,4,0,3,1,2,2,2,1,3,0,41401,0,5,0
f759dc332,1,100,205,0,1,5,6,7,1,1,1,3,2,2,1,0,41326,0,5,25
a6a0b1762,1,24,307,0,2,1,2,0,2,1,1,1,1,1,1,0,41326,0,5,8
7509ed502,1,3,307,0,2,4,0,0,1,1,2,2,2,1,1,0,41330,0,1,100
4d8bf7feb,1,6,307,0,2,1,2,0,2,1,1,1,2,1,1,0,41326,0,3,4
1e24f14d6,2,10,266,0,2,1,7,0,2,2,2,2,2,1,1,0,41326,0,1,100
d51de36a1,2,2,266,299,2,2,0,0,2,1,2,2,2,2,1,15,41326,0,1,11
e96d122ed,2,3,266,0,2,1,0,0,1,1,2,2,2,1,1,0,41401,0,1,7
982ffd67f,2,8,276,285,2,3,7,0,2,2,2,2,2,1,1,80,41401,0,7,5
be0888771,2,12,266,0,1,2,5,0,2,2,2,2,2,3,1,0,41401,0,3,100
de41ebc79,1,3,307,75,2,2,0,0,1,1,1,1,2,1,1,0,41327,0,3,18
3ca057824,1,36,20,0,1,1,2,7,2,1,1,1,1,1,1,350,41401,0,1,100
b8acb4269,2,2,266,0,3,1,6,7,2,2,2,2,2,1,4,0,41326,0,7,5
cc463360a,1,6,307,0,2,1,4,0,2,1,3,3,3,1,1,0,41332,0,4,8
5e10e3f87,1,36,307,0,2,2,0,0,2,1,1,1,1,1,1,0,41326,0,1,8
5174e0542,2,1,266,266,3,1,6,7,2,1,2,1,3,1,5,0,41326,0,1,100
19e701fea,2,1,266,266,2,1,2,7,1,1,2,2,2,1,1,50,41326,0,5,17
91633ef0b,1,48,307,0,2,2,7,0,2,2,1,1,3,1,1,0,41327,0,2,10
997653f86,1,10,307,0,2,2,7,0,2,1,1,1,1,1,1,0,41401,0,4,100
9b11972b0,1,1,307,307,3,1,2,7,2,1,2,2,2,1,5,0,41324,0,10,27
81d82bda3,1,24,307,0,1,2,7,0,2,1,1,1,1,1,1,0,41326,0,5,100
235572f38,2,1,266,0,2,1,7,0,2,1,2,2,2,1,1,0,41326,0,1,4
a01a10c4b,2,3,266,266,1,4,7,0,2,1,2,1,2,1,1,0,41326,0,11,69
360f2c8b9,2,5,288,266,1,1,6,7,2,1,2,1,2,1,1,0,41401,0,1,13
0d6b42991,2,4,264,292,2,1,6,7,3,3,2,1,2,1,2,200,41326,0,9,35
9f5636404,2,60,254,0,2,1,3,7,2,1,1,1,1,1,1,0,41326,3,10,84
352522dbd,1,12,141,103,3,1,5,0,2,2,1,3,1,1,2,0,41327,0,6,17
1bc9bf272,1,3,307,0,1,1,2,0,2,2,2,2,2,1,1,0,41326,0,2,100
