BreedID,Type,BreedName,,,,
1,1,Affenpinscher,,,,147
2,1,Afghan Hound,,,,93
3,1,Airedale Terrier,,,,55
4,1,Akbash,,,,0
5,1,Akita,,,,47
6,1,Alaskan Malamute,,,,59
7,1,American Bulldog,,,,5
8,1,American Eskimo Dog,,,,118
9,1,American Hairless Terrier,,,,126
10,1,American Staffordshire Terrier,,,,0
11,1,American Water Spaniel,,,,148
12,1,Anatolian Shepherd,,,,86
13,1,Appenzell Mountain Dog,,,,0
14,1,Australian Cattle Dog/Blue Heeler,,,,56
15,1,Australian Kelpie,,,,0
16,1,Australian Shepherd,,,,17
17,1,Australian Terrier,,,,137
18,1,Basenji,,,,84
19,1,Basset Hound,,,,39
20,1,Beagle,,,,6
21,1,Bearded Collie,,,,125
22,1,Beauceron,,,,141
23,1,Bedlington Terrier,,,,151
24,1,Belgian Shepherd Dog Sheepdog,,,,120
25,1,Belgian Shepherd Laekenois,,,,0
26,1,Belgian Shepherd Malinois,,,,44
27,1,Belgian Shepherd Tervuren,,,,0
28,1,Bernese Mountain Dog,,,,25
29,1,Bichon Frise,,,,46
30,1,Black and Tan Coonhound,,,,130
31,1,Black Labrador Retriever,,,,1
32,1,Black Mouth Cur,,,,0
33,1,Black Russian Terrier,,,,116
34,1,Bloodhound,,,,50
35,1,Blue Lacy,,,,0
36,1,Bluetick Coonhound,,,,132
37,1,Boerboel,,,,124
38,1,Bolognese,,,,0
39,1,Border Collie,,,,38
40,1,Border Terrier,,,,92
41,1,Borzoi,,,,102
42,1,Boston Terrier,,,,21
43,1,Bouvier des Flanders,,,,85
44,1,Boxer,,,,11
45,1,Boykin Spaniel,,,,98
46,1,Briard,,,,127
47,1,Brittany Spaniel,,,,26
48,1,Brussels Griffon,,,,94
49,1,Bull Terrier,,,,60
50,1,Bullmastiff,,,,51
51,1,Cairn Terrier,,,,69
52,1,Canaan Dog,,,,175
53,1,Cane Corso Mastiff,,,,37
54,1,Carolina Dog,,,,0
55,1,Catahoula Leopard Dog,,,,0
56,1,Cattle Dog,,,,0
57,1,Caucasian Sheepdog (Caucasian Ovtcharka),,,,24
58,1,Cavalier King Charles Spaniel,,,,19
59,1,Chesapeake Bay Retriever,,,,43
60,1,Chihuahua,,,,32
61,1,Chinese Crested Dog,,,,79
62,1,Chinese Foo Dog,,,,0
63,1,Chinook,,,,179
64,1,Chocolate Labrador Retriever,,,,1
65,1,Chow Chow,,,,76
66,1,Cirneco dell'Etna,,,,184
67,1,Clumber Spaniel,,,,140
68,1,Cockapoo,,,,0
69,1,Cocker Spaniel,,,,29
70,1,Collie,,,,40
71,1,Coonhound,,,,130
72,1,Corgi,,,,15
73,1,Coton de Tulear,,,,81
74,1,Curly-Coated Retriever,,,,171
75,1,Dachshund,,,,13
76,1,Dalmatian,,,,63
77,1,Dandi Dinmont Terrier,,,,182
78,1,Doberman Pinscher,,,,16
79,1,Dogo Argentino,,,,0
80,1,Dogue de Bordeaux,,,,67
81,1,Dutch Shepherd,,,,0
82,1,English Bulldog,,,,5
83,1,English Cocker Spaniel,,,,52
84,1,English Coonhound,,,,178
85,1,English Pointer,,,,113
86,1,English Setter,,,,95
87,1,English Shepherd,,,,70
88,1,English Springer Spaniel,,,,27
89,1,English Toy Spaniel,,,,134
90,1,Entlebucher,,,,152
91,1,Eskimo Dog,,,,118
92,1,Feist,,,,0
93,1,Field Spaniel,,,,145
94,1,Fila Brasileiro,,,,0
95,1,Finnish Lapphund,,,,173
96,1,Finnish Spitz,,,,177
97,1,Flat-coated Retriever,,,,96
98,1,Fox Terrier,,,,99
99,1,Foxhound,,,,187
100,1,French Bulldog,,,,4
101,1,Galgo Spanish Greyhound,,,,156
102,1,German Pinscher,,,,136
103,1,German Shepherd Dog,,,,2
104,1,German Shorthaired Pointer,,,,10
105,1,German Spitz,,,,0
106,1,German Wirehaired Pointer,,,,62
107,1,Giant Schnauzer,,,,80
108,1,Glen of Imaal Terrier,,,,158
109,1,Golden Retriever,,,,3
110,1,Gordon Setter,,,,104
111,1,Great Dane,,,,14
112,1,Great Pyrenees,,,,66
113,1,Greater Swiss Mountain Dog,,,,75
114,1,Greyhound,,,,156
115,1,Harrier,,,,183
116,1,Havanese,,,,23
117,1,Hound,,,,160
118,1,Hovawart,,,,0
119,1,Husky,,,,12
120,1,Ibizan Hound,,,,165
121,1,Illyrian Sheepdog,,,,189
122,1,Irish Setter,,,,72
